img,name,bekannt
./img/CristinMilioti(Tracy_Mutter)1.jpg,Cristin Milioti,nein
./img/Usher1.jpg,Usher,nein
./img/MilaKunis5.jpg,Mila Kunis,ja
./img/TomCruise2.jpg,Tom Cruise,ja
./img/CobieSmulders(Robin)2.jpg,Cobie Smulders,ja
./img/LeonardoDiCaprio1.jpg,Leonardo DiCaprio,ja
./img/GuentherJauch2.jpg,Günther Jauch,ja
./img/WillSmith4.jpg,Will Smith,ja
./img/JoshRadnor(Ted)1.jpg,Josh Radnor,ja
./img/AngelaMerkel1.jpg,Angela Merkel,ja
./img/BenedictCumberbatch4.jpg,Benedict Cumberbatch,ja
./img/SigmarGabriel1.jpg,Sigmar Gabriel,ja
./img/JoachimLoew1.jpg,Joachim Löw,ja
./img/JudithRakers7.jpg,Judith Rakers,ja
./img/GeorgeClooney6.jpg,George Clooney,ja
./img/BarackObama2.jpg,Barack Obama,ja
./img/JanHofer1.jpg,Jan Hofer,ja
./img/JimParsons(SheldonCooper)1.jpg,Jim Parsons,ja
./img/ElvisPresley1.jpg,Elvis Presley,ja
./img/UrsulavonderLeyen1.jpg,Ursula von der Leyen,ja
./img/Ice-T(OdafinFinTutuola)1.jpg,Ice-T,nein
./img/KaleyCuoco(Penny)2.jpg,Kaley Cuoco,ja
./img/RobertSeanLeonard(Wilson)2.jpg,Robert Sean Leonard,nein
./img/HughLaurie(DrHouse)9.jpg,Hugh Laurie,ja
./img/EmilyDeschanel3.jpg,Emily Deschanel,nein
./img/NeilPatrickHarris(Barney)4.jpg,Neil Patrick Harris,ja
./img/CarenMiosga4.jpg,Caren Miosga,nein
./img/JasonSegel(Marshall)2.jpg,Jason Segel,ja
./img/AlysonHannigan(Lily)1.jpg,Alyson Hannigan,ja
./img/TaylorSwift1.jpg,Taylor Swift,nein
./img/LisaEdelstein(DrLisaCuddy)2.jpg,Lisa Edelstein,nein
./img/BritneySpears5.jpg,Britney Spears,ja
./img/DannFlorek(DonaldDonCragen)1.jpg,Dann Florek,nein
./img/SahraWagenknecht6.jpg,Sahra Wagenknecht,ja
./img/Shakira1.jpg,Shakira,nein
./img/EmmaWatson(HermioneGranger)1.jpg,Emma Watson,ja
./img/Beyonce2.jpg,Beyoncé,nein
./img/OmarEpps(DrEricForeman)1.jpg,Omar Epps,nein
./img/MariskaHargitay(Liv)1.jpg,Mariska Hargitay,nein
./img/KatjaBurkard5.jpg,Katja Burkard,ja
./img/NicoleKidman4.jpg,Nicole Kidman,ja
./img/BastianSchweinsteiger1.jpg,Bastian Schweinsteiger,ja
